n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
13,0.998,7393,13,1,1,5920,13,53266.67031544063,42187202.88982898,620569067042.3965,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,1.016,7233,13,1,1,5476,13,52686.86771203294,41727999.227930084,613814232198.4929,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,1.054,7437,13,2,2,790,13,53425.01338270807,42312610.59910479,622413800511.6538,1737481.808765111,1376085592.5419679,20242066167893.176,368.26683467442604,17676.80806437245,451423327.2780848
13,1.069,7381,13,1,1,6955,13,53223.40412009272,42152936.06311343,620065005828.836,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,1.252,7443,13,2,2,3324,13,53446.569288168066,42329682.87622911,622664931811.2328,1737481.808765111,1376085592.5419679,20242066167893.176,368.26683467442604,17676.80806437245,451423327.2780848
13,1.251,7245,13,1,1,2567,13,52730.57395312793,41762614.57087732,614323420047.0975,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,1.534,7483,13,3,3,968,13,53590.05383849433,42443322.64008751,624336560110.9495,1737481.808765111,1376085592.5419679,20242066167893.176,299.99909677792004,14399.956645340162,367740392.8258583
13,1.657,7373,13,1,1,2447,13,53194.54044781481,42130076.03466933,619728737350.4265,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,1.626,7355,13,1,1,6842,13,53129.53987724972,42078595.58278178,618971465623.2108,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,2.463,7259,13,1,1,6798,13,52781.51884581112,41802962.92588241,614916939866.0718,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,3.362,7471,13,1,1,3602,13,53547.0488265706,42409262.67064392,623835541744.8752,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,3.913,7283,13,1,1,890,13,52868.73878550286,41872041.118118264,615933072398.5065,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,3.832,7529,13,1,1,820,13,53754.587796594584,42573633.53490291,626253418894.6957,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,3.634,7299,13,2,2,3125,13,52926.80559515495,41918030.03136272,616609564202.4532,1737481.808765111,1376085592.5419679,20242066167893.176,368.26683467442604,17676.80806437245,451423327.2780848
13,3.631,7251,13,1,1,4727,13,52752.4135003431,41779911.492271736,614577855838.9292,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,3.851,7221,13,1,1,3261,13,52643.12520028305,41693355.15862418,613304621788.344,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,4.034,7215,13,1,1,24,13,52621.24031466148,41676022.32921189,613049657793.5592,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,4.169,7295,13,1,1,2564,13,52912.294864220734,41906537.53246282,616440510820.5801,1737481.808765111,1376085592.5419679,20242066167893.176,535.2056336348548,25689.870414473033,656057741.7377733
13,4.379,7307,13,3,3,1299,13,52955.815133693926,41941005.58588559,616947532056.6453,1737481.808765111,1376085592.5419679,20242066167893.176,299.99909677792004,14399.956645340162,367740392.8258583
