n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
13,0.471,5135,13,0,0,0,0,44389.2903361159,35156317.94620379,517145530731.10815,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.511,5581,13,0,0,0,0,46277.841898408726,36652050.78353971,539147594575.7821,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.456,4887,13,0,0,0,0,43303.5551403701,34296415.67117312,504496463810.10425,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.545,5529,13,0,0,0,0,46061.637872790416,36480817.19525001,536628767517.9948,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.498,5105,13,0,0,0,0,44259.36676578095,35053418.47849851,515631890994.43774,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.534,5779,13,0,0,0,0,47092.0001118063,37296864.08855059,548632726646.56934,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.535,5179,13,0,0,0,0,44579.16031908375,35306694.97271433,519357560082.5197,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.541,5677,13,0,0,0,0,46674.358012701734,36966091.54605977,543767099299.0341,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.611,5169,13,0,0,0,0,44536.079093070104,35272574.641711526,518855653804.61633,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.622,5129,13,0,0,0,0,44363.3360460783,35135762.14849401,516843157230.7749,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.721,5163,13,0,0,0,0,44510.21035270657,35252086.599343605,518554276977.8334,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.899,5449,13,0,0,0,0,45727.02124384272,36215800.82512344,532730406159.6962,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
