n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
12,1.621,4675,12,0,0,0,0,40690.91505202758,32227204.72120584,435392628293.0349,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,1.327,4651,12,0,0,0,0,40586.27477487169,32144329.621698376,434272977746.02795,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.683,4677,12,0,0,0,0,40699.62293808292,32234101.36696167,435485802638.9955,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,1.606,4673,12,0,0,0,0,40682.20530313247,32220306.600080915,435299434014.6962,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,2.007,4657,12,0,0,0,0,40612.46010594317,32165068.403906994,434553160683.7515,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,1.438,4711,12,0,0,0,0,40847.373139326206,32351119.526346356,437066729201.29785,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,1.445,4695,12,0,0,0,0,40777.9102815035,32296104.942950774,436323476900.44635,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,2.013,4663,12,0,0,0,0,40638.62857415296,32185793.83072914,434833163188.92236,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,2.093,4733,12,0,0,0,0,40942.692250673506,32426612.26253342,438086643311.4375,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,2.08,4715,12,0,0,0,0,40864.72041499594,32364858.56867679,437252344981.57495,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,1.623,4669,12,0,0,0,0,40664.78021203718,32206505.927933443,435112985609.67694,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.723,4719,12,0,0,0,0,40882.06033392432,32378591.78446806,437437882044.74884,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,1.317,4695,12,0,0,0,0,40777.9102815035,32296104.942950774,436323476900.44635,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,2.155,4643,12,0,0,0,0,40551.33471255935,32116657.092347004,433899119219.0462,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,2.156,4577,12,0,0,0,0,40261.922915147676,31887442.948796958,430802414144.3885,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,1.819,4683,12,0,0,0,0,40725.73543115112,32254782.461471688,435765206210.3753,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,2.059,4691,12,0,0,0,0,40760.52608115418,32282336.65627411,436137466026.2454,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,1.394,4665,12,0,0,0,0,40647.34765521354,32192699.342929125,434926457321.3942,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,1.122,4681,12,0,0,0,0,40717.03312645185,32247890.23614987,435672091584.90234,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,2.272,4645,12,0,0,0,0,40560.072548297205,32123577.458251387,433992614026.48987,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.315,4735,12,0,0,0,0,40951.34662896349,32433466.530139085,438179245124.5228,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.442,4723,12,0,0,0,0,40899.392905463224,32392319.181126874,437623340490.8849,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.436,4683,12,0,0,0,0,40725.73543115112,32254782.461471688,435765206210.3753,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.429,4665,12,0,0,0,0,40647.34765521354,32192699.342929125,434926457321.3942,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.414,4697,12,0,0,0,0,40786.59960466231,32302986.88689255,436416452623.48834,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.443,4723,12,0,0,0,0,40899.392905463224,32392319.181126874,437623340490.8849,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.459,4687,12,0,0,0,0,40743.134467534015,32268562.49828694,435951375830.0761,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.457,4751,12,0,0,0,0,41020.5159607326,32488248.640900217,438919356697.77496,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.348,4719,12,0,0,0,0,40882.06033392432,32378591.78446806,437437882044.74884,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
12,0.356,4719,12,0,0,0,0,40882.06033392432,32378591.78446806,437437882044.74884,1540789.2487253323,1220305084.9904633,16486438798204.06,4121.599999999999,197836.8,4664142694.4
13,0.433,7839,13,0,0,0,0,54850.5399799424,43441627.66411438,639021516091.6042,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
13,0.698,7825,13,0,0,0,0,54801.51772903121,43402802.04139272,638450395495.3268,1737481.808765111,1376085592.5419679,20242066167893.176,5828.822618676948,279783.48569649353,7144999910.0872965
