n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
10,0.001,385,10,2,2,56,10,10643.10520202904,7971685.796319752,8550000203.682404,281985.22061076347,211206930.23746184,226529161169.78888,150.9692952005997,5132.95603682039,5053546.187544875
10,0.002,449,10,3,3,256,10,11495.515645499794,8621636.734124845,9234784547.624514,281985.22061076347,211488915.4580726,226529443155.0095,124.22161529271375,4223.534919952268,4158194.3503083
10,0.002,425,10,1,1,176,10,11183.462498935438,8387596.874201578,8984100396.969797,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,445,10,1,1,319,10,11444.096516542191,8583072.387406643,9193477607.405972,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,433,10,1,1,216,10,11288.436781059483,8466327.585794613,9068430226.822763,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,439,10,2,2,27,10,11366.532575386906,8524899.43154018,9131167546.046165,281985.22061076347,211488915.4580726,226529443155.0095,150.9692952005997,5132.95603682039,5053546.187544875
10,0.002,473,10,2,2,128,10,11799.334947513576,8849501.210635182,9478854138.065662,281985.22061076347,211488915.4580726,226529443155.0095,150.9692952005997,5132.95603682039,5053546.187544875
10,0.002,419,10,2,2,26,10,11104.081895364654,8328061.421523491,8920330941.658451,281985.22061076347,211488915.4580726,226529443155.0095,150.9692952005997,5132.95603682039,5053546.187544875
10,0.002,429,10,5,5,58,10,11236.071982005253,8427053.98650394,9026363593.880136,281985.22061076347,211488915.4580726,226529443155.0095,96.39500722500266,3277.4302456500905,3226726.471849739
10,0.002,459,10,1,1,98,10,11623.070284239537,8717302.713179652,9337254036.000422,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.001,409,10,1,1,258,10,10970.507225463958,8216909.911872504,8813014362.98254,281985.22061076347,211206930.23746184,226529161169.78888,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,481,10,1,1,256,10,11898.887598994546,8924165.69924591,9558828566.001081,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,423,10,1,1,340,10,11157.06492208706,8367798.691565295,8962894220.379574,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,399,10,1,1,91,10,10835.289493585276,8115631.830695372,8704388955.908316,281985.22061076347,211206930.23746184,226529161169.78888,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,513,10,1,1,80,10,12289.05121701889,9216788.412764167,9872261826.577522,404755.68001296,303566760.00971997,325155618470.2512,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,465,10,2,2,274,10,11698.936840784532,8774202.6305884,9398200523.802164,281985.22061076347,211488915.4580726,226529443155.0095,150.9692952005997,5132.95603682039,5053546.187544875
10,0.002,477,10,1,1,244,10,11849.215621657586,8886911.716243189,9518925179.071161,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,467,10,1,1,173,10,11724.116811256554,8793087.608442415,9418428550.921217,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.001,381,10,1,1,119,10,10587.55606576872,7930079.493260771,8505375527.206447,281985.22061076347,211206930.23746184,226529161169.78888,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,431,10,1,1,273,10,11262.284753781832,8446713.565336375,9047421309.53359,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,479,10,4,4,15,10,11874.077533793548,8905558.150345162,9538897697.842642,281985.22061076347,211488915.4580726,226529443155.0095,107.95606685338727,3670.506273015167,3613721.3818502855
10,0.002,449,10,2,2,298,10,11495.515645499794,8621636.734124845,9234784547.624514,281985.22061076347,211488915.4580726,226529443155.0095,150.9692952005997,5132.95603682039,5053546.187544875
10,0.001,355,10,3,3,41,10,10219.145723005462,7654140.146531091,8209417867.682039,281985.22061076347,211206930.23746184,226529161169.78888,124.22161529271375,4223.534919952268,4158194.3503083
10,0.002,413,10,1,1,158,10,11024.13090681276,8268098.18010957,8856103274.417149,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,435,10,1,1,279,10,11314.528484192228,8485896.36314417,9089390683.434015,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.002,439,10,4,4,73,10,11366.532575386906,8524899.43154018,9131167546.046165,281985.22061076347,211488915.4580726,226529443155.0095,107.95606685338727,3670.506273015167,3613721.3818502855
10,0.002,509,10,1,1,225,10,12240.959597722376,9180719.698291782,9833628001.315098,281985.22061076347,211488915.4580726,226529443155.0095,216.67124862880527,7366.822453379379,7252853.376600628
10,0.001,411,10,3,3,111,10,10997.351681969718,8248013.761477289,8834590505.490189,281985.22061076347,211488915.4580726,226529443155.0095,124.22161529271375,4223.534919952268,4158194.3503083
