n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
10,0.002,595,10,0,0,0,0,13236.545933668021,9927409.450251017,10633420337.261002,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,613,10,0,0,0,0,13435.607248476155,10076705.436357116,10793333855.776339,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.004,625,10,0,0,0,0,13566.694975845614,10175021.231884211,10898641608.505863,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,675,10,0,0,0,0,14099.802890561172,10574852.167920878,11326907454.497631,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,747,10,0,0,0,0,14833.90964811911,11125432.236089332,11916643308.90071,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.004,667,10,0,0,0,0,14015.866092878863,10511899.569659147,11259477835.32112,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,661,10,0,0,0,0,13952.582669065694,10464437.00179927,11208639856.201897,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,641,10,0,0,0,0,13739.536472621663,10304652.354466246,11037491750.842941,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,677,10,0,0,0,0,14120.709257603103,10590531.943202328,11343702333.584362,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,617,10,0,0,0,0,13479.444564769165,10109583.423576873,10828550037.772532,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.005,679,10,0,0,0,0,14141.584767707545,10606188.57578066,11360472424.120644,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.002,587,10,0,0,0,0,13147.108505824575,9860331.379368432,10561571852.852102,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,639,10,0,0,0,0,13718.050181200739,10288537.635900553,11020230996.465439,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,675,10,0,0,0,0,14099.802890561172,10574852.167920878,11326907454.497631,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.005,653,10,0,0,0,0,13867.75630151326,10400817.226134945,11140495611.74506,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,691,10,0,0,0,0,14266.197392063732,10699648.044047799,11460578480.545694,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,613,10,0,0,0,0,13435.607248476155,10076705.436357116,10793333855.776339,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.004,667,10,0,0,0,0,14015.866092878863,10511899.569659147,11259477835.32112,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,573,10,0,0,0,0,12989.113875517658,9741835.406638244,10434648762.530603,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.004,641,10,0,0,0,0,13739.536472621663,10304652.354466246,11037491750.842941,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.004,631,10,0,0,0,0,13631.766924792879,10223825.193594659,10950916377.829262,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.004,677,10,0,0,0,0,14120.709257603103,10590531.943202328,11343702333.584362,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.004,593,10,0,0,0,0,13214.243228447796,9910682.421335848,10615503726.654797,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,599,10,0,0,0,0,13281.0391807519,9960779.385563925,10669163453.386871,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.003,595,10,0,0,0,0,13236.545933668021,9927409.450251017,10633420337.261002,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
10,0.002,603,10,0,0,0,0,13325.384122391411,9994038.09179356,10704787430.113672,404755.68001296,303566760.00971997,325155618470.2512,2060.7999999999997,70067.2,68983219.19999999
