n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
10,0.014,1161,10,1,1,565,10,18498.728602673193,14170026.109647665,40116675824.87193,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.023,1127,10,1,1,742,10,18225.514435582998,13960744.057656577,39524178664.26513,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.01,1137,10,2,2,84,10,18306.294298895027,14022621.43295359,39699359329.881134,578472.3241572193,443109800.30442995,1254485494669.1804,150.9692952005997,5736.833217622789,28002690.689578436
10,0.018,1123,10,1,1,213,10,18193.10218871621,13935916.276556617,39453888882.28937,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.013,1123,10,1,1,970,10,18193.10218871621,13935916.276556617,39453888882.28937,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.018,1137,10,1,1,854,10,18306.294298895027,14022621.43295359,39699359329.881134,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.02,1085,10,2,2,660,10,17882.25977103993,13697810.984616587,38779790420.153076,578472.3241572193,443109800.30442995,1254485494669.1804,150.9692952005997,5736.833217622789,28002690.689578436
10,0.021,1181,10,1,1,678,10,18657.576308313688,14291703.452168286,40461155818.58261,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.017,1143,10,1,1,485,10,18354.591782641153,14059617.305503123,39804098122.48769,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.017,1109,10,2,2,89,10,18079.202308117066,13848668.968017673,39206883551.024216,578472.3241572193,443109800.30442995,1254485494669.1804,150.9692952005997,5736.833217622789,28002690.689578436
10,0.011,1165,10,2,2,732,10,18530.606942775627,14194444.91816613,40185807767.02819,578472.3241572193,443109800.30442995,1254485494669.1804,150.9692952005997,5736.833217622789,28002690.689578436
10,0.021,1137,10,1,1,362,10,18306.294298895027,14022621.43295359,39699359329.881134,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.019,1103,10,1,1,626,10,18030.16809233505,13811108.75872865,39100547068.06345,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.023,1137,10,1,1,1009,10,18306.294298895027,14022621.43295359,39699359329.881134,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
10,0.021,1135,10,1,1,154,10,18290.166832023908,14010267.793330314,39664385014.93002,578472.3241572193,443109800.30442995,1254485494669.1804,216.67124862880527,8233.5074478946,40189483.22316258
